="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="Female1960s",="Female1970s",="Female1980s",="Female1990s",="Female2000s",="Female2010s",="Male1960s",="Male1970s",="Male1980s",="Male1990s",="Male2000s",="Male2010s",="Total1960s",="Total1970s",="Total1980s",="Total1990s",="Total2000s",="Total2010s"
="Australia",="-0.0416",="-0.0378",="-0.152",="-0.300",="-0.451",="-0.498",="-0.0558",="-0.0563",="-0.142",="-0.291",="-0.399",="-0.450",="-0.0458",="-0.0379",="-0.131",="-0.284",="-0.412",="-0.463"
="Canada",="-0.152",="-0.146",="-0.170",="-0.232",="-0.302",="-0.355",="-0.186",="-0.141",="-0.163",="-0.227",="-0.293",="-0.371",="-0.160",="-0.129",="-0.156",="-0.225",="-0.294",="-0.360"
="Denmark",="-0.114",="-0.0512",="0.0786",="0.119",="-0.0163",="-0.199",="-0.318",="-0.187",="-0.0155",="0.0232",="-0.0367",="-0.194",="-0.231",="-0.125",="0.0298",="0.0668",="-0.0220",="-0.188"
="France",="-0.127",="-0.158",="-0.232",="-0.343",="-0.409",="-0.462",="-0.0487",="-0.0214",="0.00749",="-0.0455",="-0.0857",="-0.183",="-0.0894",="-0.0683",="-0.0710",="-0.150",="-0.208",="-0.290"
="Italy",="-0.113",="-0.149",="-0.206",="-0.351",="-0.505",="-0.578",="-0.175",="-0.128",="-0.104",="-0.213",="-0.334",="-0.456",="-0.154",="-0.132",="-0.138",="-0.265",="-0.403",="-0.506"
="Japan",="0.0253",="-0.172",="-0.366",="-0.512",="-0.645",="-0.697",="-0.106",="-0.252",="-0.313",="-0.337",="-0.330",="-0.415",="-0.0574",="-0.218",="-0.330",="-0.402",="-0.445",="-0.516"
="Netherlands",="-0.259",="-0.225",="-0.231",="-0.186",="-0.213",="-0.300",="-0.354",="-0.234",="-0.174",="-0.182",="-0.259",="-0.403",="-0.312",="-0.223",="-0.190",="-0.182",="-0.236",="-0.356"
="Norway",="-0.314",="-0.297",="-0.245",="-0.248",="-0.341",="-0.417",="-0.375",="-0.263",="-0.151",="-0.201",="-0.318",="-0.420",="-0.343",="-0.261",="-0.171",="-0.211",="-0.321",="-0.410"
="Spain",="-0.119",="-0.178",="-0.320",="-0.442",="-0.550",="-0.628",="-0.228",="-0.212",="-0.193",="-0.162",="-0.181",="-0.322",="-0.193",="-0.197",="-0.233",="-0.258",="-0.312",="-0.433"
="Sweden",="-0.246",="-0.252",="-0.249",="-0.303",="-0.389",="-0.474",="-0.418",="-0.296",="-0.229",="-0.308",="-0.392",="-0.499",="-0.342",="-0.264",="-0.222",="-0.297",="-0.384",="-0.481"
="UK",="-0.0536",="0.0166",="0.0246",="-0.0562",="-0.171",="-0.248",="-0.0931",="-0.0523",="-0.0426",="-0.118",="-0.191",="-0.277",="-0.0902",="-0.0281",="-0.0134",="-0.0918",="-0.181",="-0.262"
="USA",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="WestGermany",="-0.0247",="-0.00289",="-0.0818",="-0.159",="-0.274",="-0.323",="-0.0980",="-0.0212",="-0.00252",="-0.0459",="-0.120",="-0.209",="-0.0929",="-0.0336",="-0.0461",="-0.0952",="-0.179",="-0.251"
="Taiwan",="",="0.204",="0.163",="0.0372",="-0.142",="-0.260",="",="0.00520",="0.0370",="0.0674",="0.0954",="0.0730",="",="0.121",="0.129",="0.0914",="0.0290",="-0.0383"
="Israel",="",="",="-0.0240",="-0.157",="-0.362",="-0.483",="",="",="-0.224",="-0.288",="-0.317",="-0.411",="",="",="-0.129",="-0.229",="-0.335",="-0.439"
="Germany",="",="",="",="-0.125",="-0.272",="-0.322",="",="",="",="0.00514",="-0.0843",="-0.170",="",="",="",="-0.0512",="-0.156",="-0.227"
="Observations",="5330",="5740",="6027",="6560",="6560",="4551",="5330",="5740",="6027",="6560",="6560",="4551",="5330",="5740",="6027",="6560",="6560",="4551"
